Datetime,NMEA msg,UTC time,latitude,northing,longitude,easting,fix mode status,space vehicles used,hdop,altitude msl,units,geoid (HAE-MSL),units,Age of DGNSS corrections,Ref station,latitude_decimal,longitude_decimal,HAE
2024-07-29 15:09:23,$GNGGA,200923,4153.24301,N,8739.54042,W,5,12,1.87,185.9,M,-33.8,M,6,0000*5E,41.8873835,-87.659007,152.10000000000002
2024-07-29 15:09:24,$GNGGA,200924,4153.24371,N,8739.54044,W,5,12,1.87,185.7,M,-33.8,M,7,0000*57,41.887395166666664,-87.65900733333334,151.89999999999998
2024-07-29 15:09:25,$GNGGA,200925,4153.24437,N,8739.54047,W,5,12,1.87,185.7,M,-33.8,M,8,0000*5F,41.887406166666665,-87.65900783333333,151.89999999999998
2024-07-29 15:09:26,$GNGGA,200926,4153.24504,N,8739.54051,W,5,12,1.87,185.6,M,-33.8,M,9,0000*5A,41.88741733333333,-87.6590085,151.8
2024-07-29 15:09:27,$GNGGA,200927,4153.24572,N,8739.54049,W,5,12,1.87,185.5,M,-33.8,M,10,0000*68,41.887428666666665,-87.65900816666667,151.7
2024-07-29 15:09:28,$GNGGA,200928,4153.24644,N,8739.54052,W,5,12,1.87,185.4,M,-33.8,M,11,0000*6B,41.88744066666667,-87.65900866666667,151.60000000000002
2024-07-29 15:09:29,$GNGGA,200929,4153.24718,N,8739.54054,W,5,12,1.87,185.4,M,-33.8,M,12,0000*67,41.887453,-87.659009,151.60000000000002
2024-07-29 15:09:31,$GNGGA,200931,4153.2486,N,8739.54057,W,5,12,1.87,185.1,M,-33.8,M,4,0000*5F,41.887476666666664,-87.6590095,151.3
2024-07-29 15:09:32,$GNGGA,200932,4153.24928,N,8739.54063,W,5,12,1.87,185,M,-33.8,M,5,0000*56,41.887488,-87.6590105,151.2
2024-07-29 15:09:33,$GNGGA,200933,4153.24996,N,8739.5407,W,5,12,1.87,184.9,M,-33.8,M,6,0000*5B,41.88749933333333,-87.65901166666667,151.10000000000002
2024-07-29 15:09:34,$GNGGA,200934,4153.25064,N,8739.54073,W,5,12,1.87,184.7,M,-33.8,M,7,0000*55,41.887510666666664,-87.65901216666667,150.89999999999998
2024-07-29 15:09:35,$GNGGA,200935,4153.25132,N,8739.54072,W,5,12,1.87,184.6,M,-33.8,M,8,0000*59,41.887522,-87.659012,150.8
2024-07-29 15:09:36,$GNGGA,200936,4153.252,N,8739.54066,W,5,12,1.87,184.4,M,-33.8,M,9,0000*5E,41.88753333333333,-87.659011,150.60000000000002
2024-07-29 15:09:37,$GNGGA,200937,4153.25269,N,8739.54059,W,5,12,1.87,184.3,M,-33.8,M,10,0000*63,41.88754483333334,-87.65900983333333,150.5
